,r,Hx,CHx,Ne,Ve,Na,Va,PiEgoGalter,PiEgoGalters
258,4,7.176919,6.333271,45160,4007,14922,3135,0.48381496615986724,0.5536745071348673
259,5,8.380360000000001,6.286567,45160,4007,8622,2012,0.3798054343144863,0.5574746737020664
260,6,11.741545,6.283891000000001,45160,4007,23928,6158,0.03863751143340588,0.5576922040990682
261,7,7.413133,6.2460309999999994,45160,4007,8184,1923,0.4638251372641912,0.5607674120839609
262,8,7.410209,6.1632620000000005,45160,4007,17380,3314,0.4640737863331485,0.5674747702120592
263,9,12.534216,6.156137,45160,4007,19350,3578,0.0,0.5680511606385089
264,10,9.540281,6.152918,45160,4007,17780,8634,0.27358282040412696,0.5683115159585659
265,11,9.546448,6.144679,45160,4007,9681,2838,0.27299865849988086,0.5689777461166021
266,12,7.724702000000001,6.09584,45160,4007,16350,2698,0.4371524952346019,0.5729226842468742
267,13,7.188012,6.0775120000000005,45160,4007,5530,1724,0.48288056815635705,0.5744012078187626
268,14,13.885366000000001,6.077408999999999,45160,4007,18576,8451,0.0,0.5744095139113776
269,15,9.268034,6.013252,45160,4007,28720,4472,0.2991454217803579,0.579576871196301
285,1,12.536388,12.536388,33374,10127,29793,5130,0.09083593667623123,0.09083593667623123
286,2,11.006484,12.454142,33374,10127,5976,1806,0.23146738005030318,0.09901783600976105
287,3,9.909892,12.437634,33374,10127,1876,697,0.3234683883405584,0.10064694488433938
288,4,13.222297,12.37025,33374,10127,20432,3961,0.014482797572674929,0.10725460596090183
289,5,12.765144,12.197001,33374,10127,24688,8252,0.06739669969342725,0.12396279687714742
290,6,12.424932,12.107406,33374,10127,23184,4849,0.10189761898698589,0.13246320268829184
291,7,13.558183999999999,12.097665,33374,10127,20411,3573,0.0,0.1333821475670679
292,8,12.113850999999999,12.030909,33374,10127,17306,3101,0.13185464521812068,0.13965351052890676
293,9,14.634188,12.016779,33374,10127,42735,8844,0.0,0.14097522930578832
294,10,14.603451999999999,12.016779,33374,10127,24893,4220,0.0,0.14097522930578832
295,11,12.783169000000001,11.891834,33374,10127,38645,5783,0.06549798817808519,0.15258061131355222
296,12,8.093614,11.891834,33374,10127,277,178,0.4666355456436252,0.15258061131355222
297,13,12.631892,11.845037,33374,10127,25044,7981,0.08118461163162587,0.1568912603355275
298,14,13.6394,11.836958000000001,33374,10127,25493,5150,0.0,0.15763355173552368
299,15,12.341039,11.782528999999998,33374,10127,25290,4862,0.11009895649342324,0.16262028296717623
300,1,13.432751999999999,13.432751999999999,41998,7885,11971,2087,0.0,0.0
301,2,12.765538000000001,13.407303,41998,7885,7463,2014,0.028125497368870336,0.0
302,3,14.494154,13.382887,41998,7885,25528,3088,0.0,0.0
303,4,14.528964000000002,13.025342,41998,7885,37824,6817,0.0,0.0
304,5,11.757481,11.959814999999999,41998,7885,8440,2450,0.13604055029450948,0.11610614395322388
305,6,14.680477999999999,11.917674,41998,7885,38552,5218,0.0,0.12030117047606463
306,7,7.811833,7.609869000000001,41998,7885,21479,7099,0.47361965967406866,0.48935162389665915
307,8,14.034706,7.608058,41998,7885,21936,5160,0.0,0.4894921895531977
308,9,14.00968,7.6069320000000005,41998,7885,17339,4591,0.0,0.48957958262088175
309,10,8.505272,7.6069320000000005,41998,7885,365,232,0.4187266727834012,0.48957958262088175
310,11,14.705504999999999,7.605197,41998,7885,40540,6159,0.0,0.4897142357555944
311,12,13.184454999999998,7.556369,41998,7885,38625,4876,0.0,0.4935004453137075
312,13,10.648968,7.505377,41998,7885,21010,3625,0.23858581529894066,0.4974476244332819
313,14,11.806576,7.504631,41998,7885,4815,1441,0.1312499001036799,0.49750531904978257
314,15,12.026117999999999,7.503235000000001,41998,7885,9333,5282,0.10945504882495713,0.4976132797834828
315,1,12.455328999999999,12.455328999999999,14273,4072,35213,6161,0.0,0.0
