,r,Hx,CHx,Ne,Ve,Na,Va,PiEgoGalter,PiEgoGalters
278,4,11.335481,10.410695,33374,10127,33124,15416,0.20274502624934707,0.28208482997724227
279,5,14.01304,10.366864999999999,33374,10127,32506,12718,0.0,0.28574614763910156
280,6,13.801354000000002,10.348592,33374,10127,28724,11543,0.0,0.2872702369492528
281,7,13.234846,10.327239,33374,10127,23194,9550,0.012721410738779073,0.2890494918547061
282,8,11.181751,10.264534,33374,10127,13215,7616,0.21624233917379446,0.29426379211616044
283,9,13.697220000000002,10.242532,33374,10127,33615,12804,0.0,0.29608967024406474
284,10,12.862844,10.226756,33374,10127,21433,9546,0.05699163721557372,0.29739769405567934
285,11,9.969519,10.225064,33374,10127,1924,1361,0.31859097367006384,0.29753792342545676
286,12,11.978162,10.084563000000001,33374,10127,32046,14329,0.14457761992973728,0.3091436374545637
287,13,11.218682000000001,9.900905,33374,10127,33331,16200,0.2130124733815376,0.32420240072010226
288,14,13.963332000000001,9.896941,33374,10127,30232,11447,0.0,0.32452606797069994
289,15,13.915278,9.892256,33374,10127,33355,12960,0.0,0.324908533517723
290,1,13.19614,13.19614,41998,7885,32697,12943,0.0,0.0
291,2,11.79017,11.935857,41998,7885,25465,12661,0.13285389695009028,0.11849407121900919
292,3,11.730478999999999,11.472911999999999,41998,7885,28589,14178,0.13866368316565317,0.16330705138343837
293,4,13.310091,11.449104,41998,7885,29656,12344,0.0,0.16555321297364367
294,5,8.856211,8.730891999999999,41998,7885,25923,13052,0.39039533969220397,0.40055704191755115
295,6,13.454346,8.720861,41998,7885,26679,11045,0.0,0.40136824830525625
296,7,8.780428,8.370122,41998,7885,21335,11619,0.3965463658315227,0.42953567695858685
297,8,11.69364,8.294291000000001,41998,7885,30836,15613,0.14222951533712966,0.43557648760600515
298,9,14.916587,8.29418,41998,7885,33306,12586,0.0,0.4355853175325791
299,10,10.488539999999999,8.202664,41998,7885,29804,15878,0.25275033699350147,0.44285298564177766
300,11,13.323831,8.197121000000001,41998,7885,28326,11676,0.0,0.44329239132128445
301,12,8.620357,7.893561,41998,7885,24652,13099,0.4094784682708784,0.46722157060189345
302,13,12.32285,7.880421000000001,41998,7885,27231,12646,0.07877398037892226,0.4682514910003857
303,14,11.263766,7.876817999999999,41998,7885,9034,4995,0.18287574984659224,0.4685338119839793
304,15,12.229159,7.862711,41998,7885,23360,11698,0.08864498114520224,0.4696388490025345
305,1,10.869425,10.869425,14273,4072,19627,8044,0.1428987478484418,0.1428987478484418
306,2,9.346314,9.012085,14273,4072,25845,10994,0.2933736833078404,0.3242399264648812
307,3,8.932241000000001,8.340898,14273,4072,29685,13426,0.331527875825362,0.38457283242329376
308,4,9.009733,8.188288,14273,4072,18028,8608,0.32445506626325243,0.3980143475406947
309,5,13.652116,8.18093,14273,4072,27778,11006,0.0,0.39866000122366724
310,6,10.993528,8.173711,14273,4072,5486,2709,0.12959181689995197,0.39929324403082417
311,7,13.708689000000001,8.168248,14273,4072,27995,11079,0.0,0.3997723118524781
312,8,9.024369,7.925238,14273,4072,29059,12729,0.32311584311044117,0.42096224056160997
313,9,9.221919,7.867642999999999,14273,4072,25811,10860,0.3049314685343601,0.42595057091754795
314,10,11.254429,7.860742999999999,14273,4072,9439,4582,0.10074965118001922,0.4265473308303565
315,11,12.983485,7.849784,14273,4072,29293,11684,0.0,0.4274947681243333
316,12,13.637623999999999,7.847503,14273,4072,25649,10564,0.0,0.42769190967694337
317,13,8.906861,7.751085000000001,14273,4072,21427,9659,0.3338378910740404,0.4360070938930427
