,r,Hx,CHx,CHxA,PiEgoGalters,PiEgoGaltersAndEgo
251,12,10.320855,6.08957,5.959528,0.5813946112446963,0.5916272155407207
252,13,15.409923,6.089375,5.959383,0.5814099919310471,0.5916385978194579
253,14,7.44996,5.982646,5.888416,0.58981171083224,0.5972021193589803
254,15,11.910523,5.970665,5.879754,0.5907527965412623,0.5978801909482283
255,1,7.754733,7.754733,6.359752,0.44079850249194436,0.5561943540698384
256,2,10.633787,7.609478,6.305403,0.4531185728013247,0.5605647149961658
257,3,10.572821,7.473868,6.254759,0.4645535033624235,0.5646290738351977
258,4,11.35863,7.403055,6.225982,0.47049932431301655,0.5669350707120309
259,5,10.72695,7.318427,6.180943,0.4775826870340286,0.5705391796773426
260,6,14.55362,7.317478,6.180291,0.4776619808206603,0.5705913091224812
261,7,11.372612,7.290209,6.167243,0.4799391486290855,0.5716342687545662
262,8,9.023515,7.166775,6.119462,0.4902156979527047,0.5754491587394472
263,9,7.669936,6.726544,5.939223,0.5264620634588965,0.5897782182271151
264,10,6.825716,6.67503,5.911099,0.530663041496684,0.5920053702856988
265,11,7.480461,6.498862,5.816354,0.5449670031881333,0.5994910498943516
266,12,7.538588,6.455472,5.790122,0.5484753123193286,0.6015589236934422
267,13,11.900053,6.450658,5.787191,0.5488641926880163,0.601789849132614
268,14,8.724967,6.433396,5.778794,0.5502580517326457,0.6024512856986249
269,15,7.840798,6.432258,5.778404,0.5503499099881874,0.6024820011822289
270,1,7.858323,7.858323,6.869478,0.43595512014077636,0.5180368734884765
271,2,7.837046,7.318161,6.609831,0.48119313052527407,0.5390691017804684
272,3,7.858564,7.092251,6.479559,0.4998242151555973,0.5495440028309794
273,4,7.854363,6.931057,6.380079,0.5130181509442477,0.557508581246613
274,5,7.880494,6.815851,6.329217,0.5223978720190277,0.5615692750020921
275,6,8.262223,6.724932,6.274267,0.5297711450462528,0.5659477008413452
276,7,7.978673,6.644007,6.220466,0.5363125591402262,0.5702259088160583
277,8,7.770775,6.53844,6.149358,0.5448158582796102,0.5758672525190311
278,9,8.010001,6.498301,6.11906,0.5480401538367428,0.5782664233581026
279,10,8.103532,6.454621,6.09053,0.5515433780273464,0.580523132847058
280,11,7.886568,6.393321,6.041584,0.5564501078214071,0.5843891899077198
281,12,10.338707,6.391003,6.040159,0.5566354304369503,0.5845016403382699
282,13,8.29718,6.343936,6.00697,0.5603949393461343,0.5871189943966504
283,14,14.11011,6.336522,6.001954,0.5609865359449387,0.587514287344667
284,15,14.505958,6.332417,5.999662,0.5613140221225538,0.5876948872384865
285,1,7.537959,7.537959,6.395273,0.4255880317459697,0.5269580896011681
286,2,7.44393,6.605192,6.147578,0.5087247726514389,0.5482607866196059
287,3,10.117018,6.525043,6.127472,0.5157061319062882,0.5499800854701191
288,4,12.341335,6.494209,6.107826,0.5183854092661349,0.5516586274952755
289,5,9.547259,6.395129,6.036725,0.5269705402336675,0.557721748898481
290,6,11.309454,6.368921,6.021043,0.5292352647748235,0.5590565670521117
291,7,9.312107,6.343695,6.012932,0.5314127112806697,0.5597466099694995
292,8,7.079954,6.072588,5.883256,0.5546658283692268,0.5707467096834143
293,9,7.710408,6.034388,5.86471,0.5579207255883383,0.5723150072826657
294,10,10.007803,6.008462,5.841238,0.5601267936738155,0.574298104881259
295,11,8.147996,5.994575,5.838597,0.5613074557822216,0.5745211145557474
296,12,7.404819,5.849548,5.740915,0.573596235327982,0.5827521485612378
297,13,13.231608,5.847788,5.739455,0.5737449068912714,0.5828749174545816
298,14,13.385566,5.844107,5.734921,0.5740558144847623,0.5832561257969252
299,15,5.218767,5.843381,5.734294,0.574117128796325,0.5833088368152496
300,1,7.361691,7.361691,6.466572,0.4915765850227318,0.5622327608379711
301,2,9.487938,7.204176,6.430171,0.5041770449691536,0.5650584260572875
302,3,7.120403,6.853305,6.327806,0.531985540954447,0.5729851776412944
303,4,8.197839,6.724278,6.279278,0.5421234180835314,0.5767330180614554
304,5,7.546322,6.705381,6.272793,0.5436042634875513,0.5772333729132132
305,6,13.892655,6.698574,6.26996,0.544137442918317,0.577451919241218
306,7,11.224432,6.644446,6.243163,0.5483725847240624,0.5795180452249732
307,8,14.877863,6.643992,6.242907,0.5484080725652581,0.5795377741747737
308,9,10.807973,6.609365,6.225287,0.55111307467459,0.5808952541592257
309,10,13.788547,6.607489,6.224569,0.551259529500103,0.5809505524845382
310,11,14.467139,6.605847,6.223452,0.5513877084925154,0.5810365778847327
311,12,15.15802,6.605547,6.223197,0.5514111265014888,0.5810562161551895
312,13,14.536288,6.604676,6.222383,0.5514791153728277,0.5811189034172543
313,14,8.11933,6.588067,6.21678,0.5527751849118939,0.5815503495132271
314,15,10.103374,6.543201,6.192391,0.5562724478001703,0.5834273788566193
315,1,7.187746,7.187746,5.941586,0.4729530039100926,0.5777482960181392
316,2,6.394183,6.102945,5.693793,0.5644760352447763,0.5979650648465461
317,3,7.02577,5.888303,5.591976,0.5821122970056347,0.6062147240813772
318,4,6.566252,5.697915,5.481585,0.5976303823250272,0.6151216627690679
319,5,7.350854,5.577932,5.408716,0.6073500271744379,0.6209798802404048
320,6,10.506446,5.563175,5.400408,0.6085422899008097,0.6216467218998217
321,7,13.739345,5.562754,5.40005,0.6085762935682721,0.6216754518532656
322,8,8.182504,5.526459,5.378988,0.6115056723186193,0.623364989079208
323,9,12.96322,5.521858,5.375869,0.6118767203304906,0.6236150674173249
324,10,13.625199,5.52097,5.375514,0.6119483253978387,0.6236435290132476
325,11,7.562969,5.485288,5.350738,0.6148235140058378,0.6256289220306874
326,12,10.527199,5.478804,5.346614,0.6153455476028722,0.6259592048406222
327,13,6.511447,5.440696,5.321196,0.6184109618800634,0.6279936931555542
328,14,13.001719,5.439414,5.320467,0.6185140059847737,0.6280520130786632
